director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Luc Jacquet,Morgan Freeman,Sofie Gråbøl,Romane Bohringer,Documentary,march of the penguins,Morgan FreemanSofie GråbølRomane BohringerLuc JacquetDocumentary
J.C. Chandor,Kevin Spacey,Demi Moore,Ashley Williams,Biography Drama Thriller,margin call,Kevin SpaceyDemi MooreAshley WilliamsJ.C. ChandorBiography Drama Thriller
Eldar Rapaport,Murray Bartlett,Adrian Gonzalez,Edward Conna,Drama Romance,august,Murray BartlettAdrian GonzalezEdward ConnaEldar RapaportDrama Romance
Clark Gregg,Anjelica Huston,Matt Gerald,Jonah Bobo,Comedy Drama,choke,Anjelica HustonMatt GeraldJonah BoboClark GreggComedy Drama
Damien Chazelle,J.K. Simmons,Melissa Benoist,Chris Mulkey,Drama Music,whiplash,J.K. SimmonsMelissa BenoistChris MulkeyDamien ChazelleDrama Music
Fernando Meirelles,Alice Braga,Seu Jorge,Alexandre Rodrigues,Crime Drama,city of god,Alice BragaSeu JorgeAlexandre RodriguesFernando MeirellesCrime Drama
Justin Kerrigan,Danny Dyer,John Simm,Shaun Parkes,Comedy Music,human traffic,Danny DyerJohn SimmShaun ParkesJustin KerriganComedy Music
Nathan Frankowski,Corbin Bleu,Rus Blackwell,Luis Antonio,Biography Drama Music,day one,Corbin BleuRus BlackwellLuis AntonioNathan FrankowskiBiography Drama Music
Karen Moncrieff,James Franco,Bruce Davison,Piper Laurie,Crime Drama Mystery,the dead girl,James FrancoBruce DavisonPiper LaurieKaren MoncrieffCrime Drama Mystery
Thomas Vinterberg,Thomas Bo Larsen,Alexandra Rapaport,Hana Shuan,Drama,the hunt,Thomas Bo LarsenAlexandra RapaportHana ShuanThomas VinterbergDrama
Bob Clark,Zack Ward,Darren McGavin,Scott Schwartz,Comedy Family,a christmas story,Zack WardDarren McGavinScott SchwartzBob ClarkComedy Family
Alejandro Monteverde,Armando Riesco,Ramon Rodriguez,Eduardo Verástegui,Drama Romance,bella,Armando RiescoRamon RodriguezEduardo VerásteguiAlejandro MonteverdeDrama Romance
Mark L. Lester,Roddy McDowall,Perry King,Timothy Van Patten,Action Crime Drama Thriller,class of 1984,Roddy McDowallPerry KingTimothy Van PattenMark L. LesterAction Crime Drama Thriller
Jennifer Finnigan,Geoff Stults,Kenan Thompson,Josh Hopkins,Comedy,the opposite sex,Geoff StultsKenan ThompsonJosh HopkinsJennifer FinniganComedy
Eric Styles,Samantha Morton,Rupert Graves,Miriam Margolyes,Drama Romance,dreaming of joseph lees,Samantha MortonRupert GravesMiriam MargolyesEric StylesDrama Romance
Laurent Cantet,François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,Drama,the class,François BégaudeauAgame Malembo-EmeneAngélica SancioLaurent CantetDrama
Roman Polanski,John Cassavetes,Mia Farrow,Charles Grodin,Drama Horror,rosemary's baby,John CassavetesMia FarrowCharles GrodinRoman PolanskiDrama Horror
John Ford,Lee Marvin,Woody Strode,Vera Miles,Drama Western,the man who shot liberty valance,Lee MarvinWoody StrodeVera MilesJohn FordDrama Western
Max Mayer,Peter Gallagher,Terry Walters,Amy Irving,Drama Romance,adam,Peter GallagherTerry WaltersAmy IrvingMax MayerDrama Romance
Joshua Marston,Catalina Sandino Moreno,Wilson Guerrero,Yenny Paola Vega,Crime Drama,maria full of grace,Catalina Sandino MorenoWilson GuerreroYenny Paola VegaJoshua MarstonCrime Drama
Mike Mills,Goran Visnjic,Lou Taylor Pucci,Mary Page Keller,Comedy Drama Romance,beginners,Goran VisnjicLou Taylor PucciMary Page KellerMike MillsComedy Drama Romance
John Gulager,Krista Allen,Eric Dane,Henry Rollins,Action Comedy Horror Thriller,feast,Krista AllenEric DaneHenry RollinsJohn GulagerAction Comedy Horror Thriller
John Landis,John Belushi,Karen Allen,Tim Matheson,Comedy,animal house,John BelushiKaren AllenTim MathesonJohn LandisComedy
Guy Hamilton,Honor Blackman,Gert Fröbe,Lois Maxwell,Action Adventure Thriller,goldfinger,Honor BlackmanGert FröbeLois MaxwellGuy HamiltonAction Adventure Thriller
Brandon Cronenberg,Sarah Gadon,Douglas Smith,Caleb Landry Jones,Horror Sci-Fi Thriller,antiviral,Sarah GadonDouglas SmithCaleb Landry JonesBrandon CronenbergHorror Sci-Fi Thriller
Frank Capra,Donna Reed,Lionel Barrymore,Thomas Mitchell,Drama Family Fantasy Romance,it's a wonderful life,Donna ReedLionel BarrymoreThomas MitchellFrank CapraDrama Family Fantasy Romance
Danny Boyle,Kelly Macdonald,Shirley Henderson,Ewen Bremner,Drama,trainspotting,Kelly MacdonaldShirley HendersonEwen BremnerDanny BoyleDrama
Spike Lee,Bernie Mac,Cedric the Entertainer,Steve Harvey,Comedy Documentary,the original kings of comedy,Bernie MacCedric the EntertainerSteve HarveySpike LeeComedy Documentary
Tod Williams,Sprague Grayden,Molly Ephraim,Micah Sloat,Horror,paranormal activity 2,Sprague GraydenMolly EphraimMicah SloatTod WilliamsHorror
Kirk Jones,James Nesbitt,David Kelly,Fionnula Flanagan,Comedy,waking ned devine,James NesbittDavid KellyFionnula FlanaganKirk JonesComedy
Michael Moore,Michael Moore,Dick Clark,Bill Clinton,Crime Documentary Drama,bowling for columbine,Michael MooreDick ClarkBill ClintonMichael MooreCrime Documentary Drama
Yimou Zhang,Li Gong,Daoming Chen,Ni Yan,Drama,coming home,Li GongDaoming ChenNi YanYimou ZhangDrama
Jack Sholder,Clu Gulager,Robert Rusler,Marshall Bell,Fantasy Horror,a nightmare on elm street 2: freddy's revenge,Clu GulagerRobert RuslerMarshall BellJack SholderFantasy Horror
James Ivory,Julian Sands,Rupert Graves,Denholm Elliott,Drama Romance,a room with a view,Julian SandsRupert GravesDenholm ElliottJames IvoryDrama Romance
James DeMonaco,Rhys Wakefield,Adelaide Kane,Chris Mulkey,Horror Sci-Fi Thriller,the purge,Rhys WakefieldAdelaide KaneChris MulkeyJames DeMonacoHorror Sci-Fi Thriller
Scott Derrickson,Danielle Kotch,Victoria Leigh,James Ransone,Horror Mystery,sinister,Danielle KotchVictoria LeighJames RansoneScott DerricksonHorror Mystery
David Raynr,Nancy O'Dell,Mikki Padilla,Dayna Devon,Biography Comedy Documentary,martin lawrence live: runteldat,Nancy O'DellMikki PadillaDayna DevonDavid RaynrBiography Comedy Documentary
Richard Brooks,Burl Ives,Judith Anderson,Jack Carson,Drama Romance,cat on a hot tin roof,Burl IvesJudith AndersonJack CarsonRichard BrooksDrama Romance
Ted Post,Linda Harrison,Gregory Sierra,Victor Buono,Action Adventure Sci-Fi,beneath the planet of the apes,Linda HarrisonGregory SierraVictor BuonoTed PostAction Adventure Sci-Fi
Charles Martin Smith,Kevin Zegers,Bill Cobbs,Michael Jeter,Comedy Drama Family Sport,air bud,Kevin ZegersBill CobbsMichael JeterCharles Martin SmithComedy Drama Family Sport
Kunihiko Yuyama,Veronica Taylor,Eric Stuart,Lisa Ortiz,Action Adventure Animation Family Fantasy Sci-Fi,pokémon 3: the movie,Veronica TaylorEric StuartLisa OrtizKunihiko YuyamaAction Adventure Animation Family Fantasy Sci-Fi
Tom McLoughlin,Tony Goldwyn,Ron Palillo,Vincent Guastaferro,Horror Thriller,jason lives: friday the 13th part vi,Tony GoldwynRon PalilloVincent GuastaferroTom McLoughlinHorror Thriller
David Lean,William Holden,Sessue Hayakawa,Jack Hawkins,Adventure Drama War,the bridge on the river kwai,William HoldenSessue HayakawaJack HawkinsDavid LeanAdventure Drama War
Patrick Read Johnson,Ariana Richards,Royal Dano,Tonya Lee Williams,Adventure Comedy Sci-Fi,spaced invaders,Ariana RichardsRoyal DanoTonya Lee WilliamsPatrick Read JohnsonAdventure Comedy Sci-Fi
Alfred Hitchcock,Ed Lauter,Bruce Dern,William Devane,Comedy Thriller,family plot,Ed LauterBruce DernWilliam DevaneAlfred HitchcockComedy Thriller
Billy Wilder,Fred MacMurray,Ray Walston,David White,Comedy Drama Romance,the apartment,Fred MacMurrayRay WalstonDavid WhiteBilly WilderComedy Drama Romance
Adam Marcus,Kane Hodder,Leslie Jordan,Erin Gray,Fantasy Horror Thriller,jason goes to hell: the final friday,Kane HodderLeslie JordanErin GrayAdam MarcusFantasy Horror Thriller
Alfred Hitchcock,Tamara Toumanova,Lila Kedrova,David Opatoshu,Thriller,torn curtain,Tamara ToumanovaLila KedrovaDavid OpatoshuAlfred HitchcockThriller
Michel Gondry,Common,Dave Chappelle,Lauryn Hill,Comedy Documentary Music,dave chappelle's block party,CommonDave ChappelleLauryn HillMichel GondryComedy Documentary Music
John Maclean,Michael Fassbender,Kodi Smit-McPhee,Ben Mendelsohn,Western,slow west,Michael FassbenderKodi Smit-McPheeBen MendelsohnJohn MacleanWestern
Michael Schultz,Blair Underwood,LisaGay Hamilton,Bobby Brown,Comedy Drama Music,krush groove,Blair UnderwoodLisaGay HamiltonBobby BrownMichael SchultzComedy Drama Music
Benny Boom,Omari Hardwick,Donald Faison,Mike Epps,Action Comedy Crime,next day air,Omari HardwickDonald FaisonMike EppsBenny BoomAction Comedy Crime
Richard Brooks,Shirley Jones,Jean Simmons,Edward Andrews,Drama,elmer gantry,Shirley JonesJean SimmonsEdward AndrewsRichard BrooksDrama
Stanley Kramer,Maximilian Schell,Montgomery Clift,Spencer Tracy,Drama War,judgment at nuremberg,Maximilian SchellMontgomery CliftSpencer TracyStanley KramerDrama War
David Raynr,Donald Faison,Deon Richmond,Countess Vaughn,Comedy,trippin',Donald FaisonDeon RichmondCountess VaughnDavid RaynrComedy
unknown,Matthew Senreich,Seth Green,Breckin Meyer,Animation Comedy,robot chicken            ,Matthew SenreichSeth GreenBreckin MeyerunknownAnimation Comedy
Howard Hawks,Montgomery Clift,Walter Brennan,Harry Carey Jr.,Action Adventure Romance Western,red river,Montgomery CliftWalter BrennanHarry Carey Jr.Howard HawksAction Adventure Romance Western
Nnegest Likké,Mo'Nique,Jimmy Jean-Louis,Joyful Drake,Comedy,phat girlz,Mo'NiqueJimmy Jean-LouisJoyful DrakeNnegest LikkéComedy
Richard Linklater,Seamus Davey-Fitzpatrick,Ariane Labed,Athina Rachel Tsangari,Drama Romance,before midnight,Seamus Davey-FitzpatrickAriane LabedAthina Rachel TsangariRichard LinklaterDrama Romance
Christopher Leitch,John Astin,Robert Neary,Kim Darby,Comedy Fantasy,teen wolf too,John AstinRobert NearyKim DarbyChristopher LeitchComedy Fantasy
Don Coscarelli,Angus Scrimm,A. Michael Baldwin,James Le Gros,Action Fantasy Horror Sci-Fi Thriller,phantasm ii,Angus ScrimmA. Michael BaldwinJames Le GrosDon CoscarelliAction Fantasy Horror Sci-Fi Thriller
Michael Schultz,Loretta Devine,Kimberly Elise,Clifton Powell,Drama,woman thou art loosed,Loretta DevineKimberly EliseClifton PowellMichael SchultzDrama
Patricia Cardoso,America Ferrera,Lupe Ontiveros,George Lopez,Comedy Drama,real women have curves,America FerreraLupe OntiverosGeorge LopezPatricia CardosoComedy Drama
unknown,Rachel Griffiths,Jessica De Gouw,Luke Ford,Drama War,deadline gallipoli            ,Rachel GriffithsJessica De GouwLuke FordunknownDrama War
Deepa Mehta,John Abraham,Lisa Ray,Seema Biswas,Drama Romance,water,John AbrahamLisa RaySeema BiswasDeepa MehtaDrama Romance
Damien O'Donnell,Archie Panjabi,Jimi Mistry,Om Puri,Comedy Drama,east is east,Archie PanjabiJimi MistryOm PuriDamien O'DonnellComedy Drama
Peter M. Cohen,Callie Thorne,Brian Van Holt,David Heyman,Comedy Romance,whipped,Callie ThorneBrian Van HoltDavid HeymanPeter M. CohenComedy Romance
Mira Nair,Indira Varma,Sarita Choudhury,Rekha,Crime Drama History Romance,kama sutra: a tale of love,Indira VarmaSarita ChoudhuryRekhaMira NairCrime Drama History Romance
Nicole Holofcener,Oliver Platt,Thomas Ian Nicholas,Ann Morgan Guilbert,Comedy Drama,please give,Oliver PlattThomas Ian NicholasAnn Morgan GuilbertNicole HolofcenerComedy Drama
Mel Stuart,Peter Ostrum,Jack Albertson,Julie Dawn Cole,Family Fantasy Musical,willy wonka & the chocolate factory,Peter OstrumJack AlbertsonJulie Dawn ColeMel StuartFamily Fantasy Musical
Anthony Hickox,Julian Sands,Zach Galligan,Paula Marshall,Fantasy Horror,warlock: the armageddon,Julian SandsZach GalliganPaula MarshallAnthony HickoxFantasy Horror
Tom Schulman,Kristy Swanson,George Hamilton,Dyan Cannon,Comedy Crime,8 heads in a duffel bag,Kristy SwansonGeorge HamiltonDyan CannonTom SchulmanComedy Crime
Terrence Malick,Sam Shepard,Stuart Margolin,Richard Libertini,Drama Romance,days of heaven,Sam ShepardStuart MargolinRichard LibertiniTerrence MalickDrama Romance
Jill Sprecher,Matthew McConaughey,Rob McElhenney,Amy Irving,Drama,thirteen conversations about one thing,Matthew McConaugheyRob McElhenneyAmy IrvingJill SprecherDrama
Darren Stein,Julie Benz,Judy Greer,Jeff Conaway,Comedy Crime Thriller,jawbreaker,Julie BenzJudy GreerJeff ConawayDarren SteinComedy Crime Thriller
Julian Schnabel,Gary Oldman,Michael Wincott,Courtney Love,Biography Drama,basquiat,Gary OldmanMichael WincottCourtney LoveJulian SchnabelBiography Drama
Noah Baumbach,Greta Gerwig,Grace Gummer,Vanessa Ray,Comedy Drama Romance,frances ha,Greta GerwigGrace GummerVanessa RayNoah BaumbachComedy Drama Romance
Gavin Hood,Terry Pheto,Nambitha Mpumlwana,Rapulana Seiphemo,Crime Drama,tsotsi,Terry PhetoNambitha MpumlwanaRapulana SeiphemoGavin HoodCrime Drama
Todd Solondz,Philip Seymour Hoffman,Jon Lovitz,Dylan Baker,Comedy Drama,happiness,Philip Seymour HoffmanJon LovitzDylan BakerTodd SolondzComedy Drama
George Gallo,Eddie Griffin,Joe Howard,Robert Noble,Comedy Documentary,dysfunktional family,Eddie GriffinJoe HowardRobert NobleGeorge GalloComedy Documentary
Kevin Smith,Johnny Depp,Haley Joel Osment,Michael Parks,Comedy Drama Horror,tusk,Johnny DeppHaley Joel OsmentMichael ParksKevin SmithComedy Drama Horror
Chan-wook Park,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang,Drama Mystery Thriller,oldboy,Min-sik ChoiJi-tae YuHye-jeong KangChan-wook ParkDrama Mystery Thriller
David Nixon,Robyn Lively,Michael Bolten,Christopher Schmidt,Drama Family,letters to god,Robyn LivelyMichael BoltenChristopher SchmidtDavid NixonDrama Family
Jason Eisener,Gregory Smith,Robb Wells,Molly Dunsworth,Action Comedy Thriller,hobo with a shotgun,Gregory SmithRobb WellsMolly DunsworthJason EisenerAction Comedy Thriller
Enrique Begne,Kevin Pollak,Héctor Jiménez,Erick Elias,Action Comedy,compadres,Kevin PollakHéctor JiménezErick EliasEnrique BegneAction Comedy
Matthew Bright,Bokeem Woodbine,Dan Hedaya,Robert Peters,Comedy Crime Drama Thriller,freeway,Bokeem WoodbineDan HedayaRobert PetersMatthew BrightComedy Crime Drama Thriller
Michael Landon Jr.,William Morgan Sheppard,Kevin Gage,Brianna Brown,Drama Family Western,love's abiding joy,William Morgan SheppardKevin GageBrianna BrownMichael Landon Jr.Drama Family Western
Andrea Arnold,Michael Fassbender,Harry Treadaway,Jason Maza,Drama,fish tank,Michael FassbenderHarry TreadawayJason MazaAndrea ArnoldDrama
Whit Stillman,Greta Gerwig,Megalyn Echikunwoke,Zach Woods,Comedy Drama Romance,damsels in distress,Greta GerwigMegalyn EchikunwokeZach WoodsWhit StillmanComedy Drama Romance
unknown,Craig T. Nelson,Colm Feore,Megalyn Echikunwoke,Horror Sci-Fi Thriller,creature            ,Craig T. NelsonColm FeoreMegalyn EchikunwokeunknownHorror Sci-Fi Thriller
Leslye Headland,Kirsten Dunst,Adam Scott,Andrew Rannells,Comedy Romance,bachelorette,Kirsten DunstAdam ScottAndrew RannellsLeslye HeadlandComedy Romance
unknown,Danny Pino,Megan Hilty,Zach Grenier,Comedy Drama Horror Sci-Fi Thriller,braindead            ,Danny PinoMegan HiltyZach GrenierunknownComedy Drama Horror Sci-Fi Thriller
Bobby Roth,Virginia Madsen,Aaron Ashmore,Lindsey Haun,Drama Family Music,brave new girl,Virginia MadsenAaron AshmoreLindsey HaunBobby RothDrama Family Music
Tim Heidecker,Michael Gross,William Atherton,Bob Ross,Comedy,tim and eric's billion dollar movie,Michael GrossWilliam AthertonBob RossTim HeideckerComedy
Rupert Wyatt,George Kennedy,Cjon Saulsberry,Griffin Cleveland,Crime Drama Thriller,the gambler,George KennedyCjon SaulsberryGriffin ClevelandRupert WyattCrime Drama Thriller
unknown,Susan Hampshire,Amanda Mealing,Tim Healy,Drama,the grand            ,Susan HampshireAmanda MealingTim HealyunknownDrama
Marco Kreuzpaintner,Alicja Bachleda,Kostja Ullmann,Robert Stadlober,Comedy Drama Romance Sport,summer storm,Alicja BachledaKostja UllmannRobert StadloberMarco KreuzpaintnerComedy Drama Romance Sport
Kate Connor,Johnny Pacar,Eric Stoltz,Brendan Fehr,Drama History War,fort mccoy,Johnny PacarEric StoltzBrendan FehrKate ConnorDrama History War
Deon Taylor,Matt Cohen,Betsy Russell,Noah Segan,Horror Thriller,chain letter,Matt CohenBetsy RussellNoah SeganDeon TaylorHorror Thriller
Jason Alexander,Gretchen Mol,Patti LuPone,Peter Onorati,Comedy Drama,just looking,Gretchen MolPatti LuPonePeter OnoratiJason AlexanderComedy Drama
Xavier Gens,Michael Biehn,Lauren German,Rosanna Arquette,Drama Sci-Fi Thriller,the divide,Michael BiehnLauren GermanRosanna ArquetteXavier GensDrama Sci-Fi Thriller
Conor McPherson,Aidan Quinn,Iben Hjejle,Jim Norton,Drama Horror Romance,the eclipse,Aidan QuinnIben HjejleJim NortonConor McPhersonDrama Horror Romance
Will Canon,Frank Grillo,Scott Mechlowicz,Aaron Yoo,Horror Thriller,demonic,Frank GrilloScott MechlowiczAaron YooWill CanonHorror Thriller
Philip Zlotorynski,Neil Hopkins,Darren Keefe Reiher,David Douglas,Comedy,my big fat independent movie,Neil HopkinsDarren Keefe ReiherDavid DouglasPhilip ZlotorynskiComedy
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice in wonderland,Johnny DeppAlan RickmanAnne HathawayTim BurtonAdventure Family Fantasy
Lance Kawas,Taylor Negron,Michael Rapaport,Talia Shire,Comedy,the deported,Taylor NegronMichael RapaportTalia ShireLance KawasComedy
Francesca Gregorini,Tom Everett Scott,Amy Sedaris,Chris Kattan,Drama,tanner hall,Tom Everett ScottAmy SedarisChris KattanFrancesca GregoriniDrama
Marcio Garcia,John Savage,Kristi Clainos,Emily Nelson,Action Drama Thriller,open road,John SavageKristi ClainosEmily NelsonMarcio GarciaAction Drama Thriller
David Wain,Christopher Meloni,Amy Poehler,Jack McBrayer,Comedy,they came together,Christopher MeloniAmy PoehlerJack McBrayerDavid WainComedy
Craig Moss,French Stewart,Ashley Martin,Olivia Alexander,Comedy,30 nights of paranormal activity with the devil inside the girl with the dragon tattoo,French StewartAshley MartinOlivia AlexanderCraig MossComedy
Michael Jai White,Michael Jai White,Alex Meraz,Jillian Murray,Action Drama Sport,never back down 2: the beatdown,Michael Jai WhiteAlex MerazJillian MurrayMichael Jai WhiteAction Drama Sport
John Boorman,Lee Marvin,Angie Dickinson,Carroll O'Connor,Crime Thriller,point blank,Lee MarvinAngie DickinsonCarroll O'ConnorJohn BoormanCrime Thriller
Paolo Monico,Stephanie Szostak,Sarah Rafferty,Salvatore Santone,Comedy,four single fathers,Stephanie SzostakSarah RaffertySalvatore SantonePaolo MonicoComedy
Youssef Delara,Noel Gugliemi,David Bianchi,Jason Priestley,Thriller,enter the dangerous mind,Noel GugliemiDavid BianchiJason PriestleyYoussef DelaraThriller
Darin Scott,Julian Morris,Shantel VanSanten,John Robinson,Drama Horror Mystery Thriller,something wicked,Julian MorrisShantel VanSantenJohn RobinsonDarin ScottDrama Horror Mystery Thriller
Christian Sesma,Bokeem Woodbine,Brooke Newton,Brett Wagner,Thriller,awol-72,Bokeem WoodbineBrooke NewtonBrett WagnerChristian SesmaThriller
Monte Hellman,Everett McGill,Jack Taylor,Fabio Testi,Adventure Crime Drama,iguana,Everett McGillJack TaylorFabio TestiMonte HellmanAdventure Crime Drama
Kenneth Branagh,Hayley Atwell,Derek Jacobi,Lily James,Drama Family Fantasy Romance,cinderella,Hayley AtwellDerek JacobiLily JamesKenneth BranaghDrama Family Fantasy Romance
Brian Caunter,Mike Starr,Stacy Keach,Frank Vincent,Action Adventure Crime Drama,chicago overcoat,Mike StarrStacy KeachFrank VincentBrian CaunterAction Adventure Crime Drama
Chris D'Arienzo,Judy Greer,Cybill Shepherd,Shea Whigham,Comedy Drama Romance,barry munday,Judy GreerCybill ShepherdShea WhighamChris D'ArienzoComedy Drama Romance
Walter Salles,Fernanda Montenegro,Matheus Nachtergaele,Othon Bastos,Drama,central station,Fernanda MontenegroMatheus NachtergaeleOthon BastosWalter SallesDrama
Frank Capra,Ann-Margret,Glenn Ford,Thomas Mitchell,Comedy Drama,pocketful of miracles,Ann-MargretGlenn FordThomas MitchellFrank CapraComedy Drama
Isaac Florentine,Anthony L. Fernandez,Nick Chinlund,Scott Evans,Action Crime,close range,Anthony L. FernandezNick ChinlundScott EvansIsaac FlorentineAction Crime
Susan Seidelman,Dyan Cannon,Michael Nouri,Brenda Vaccaro,Comedy Romance,boynton beach club,Dyan CannonMichael NouriBrenda VaccaroSusan SeidelmanComedy Romance
Michael Polish,Olivia Rose Keegan,Patrick Bauchau,Mia Barron,Drama Horror Mystery Thriller,amnesiac,Olivia Rose KeeganPatrick BauchauMia BarronMichael PolishDrama Horror Mystery Thriller
Heidi Ewing,Greg Crowe,James Ransone,Tempestt Bledsoe,Documentary,freakonomics,Greg CroweJames RansoneTempestt BledsoeHeidi EwingDocumentary
Richard Donner,Lee Remick,Patrick Troughton,Billie Whitelaw,Fantasy Horror Mystery,the omen,Lee RemickPatrick TroughtonBillie WhitelawRichard DonnerFantasy Horror Mystery
Alexandre Aja,Cécile De France,Maïwenn,Oana Pellea,Horror,high tension,Cécile De FranceMaïwennOana PelleaAlexandre AjaHorror
Leon Ford,Maeve Dermody,Patrick Brammall,Kelly Paterniti,Comedy Drama Romance Sci-Fi,griff the invisible,Maeve DermodyPatrick BrammallKelly PaternitiLeon FordComedy Drama Romance Sci-Fi
Hank Braxtan,Q'orianka Kilcher,Gregory Cruz,Allegra Carpenter,Action Horror Thriller,unnatural,Q'orianka KilcherGregory CruzAllegra CarpenterHank BraxtanAction Horror Thriller
Craig Brewer,Isaac Hayes,Paula Jai Parker,Elise Neal,Crime Drama Music,hustle & flow,Isaac HayesPaula Jai ParkerElise NealCraig BrewerCrime Drama Music
Billy Wilder,Nehemiah Persoff,Joe E. Brown,George Raft,Comedy Music Romance,some like it hot,Nehemiah PersoffJoe E. BrownGeorge RaftBilly WilderComedy Music Romance
John Carl Buechler,Kane Hodder,Terry Kiser,William Butler,Horror,friday the 13th part vii: the new blood,Kane HodderTerry KiserWilliam ButlerJohn Carl BuechlerHorror
Victor Fleming,Margaret Hamilton,Terry,Billie Burke,Adventure Family Fantasy Musical,the wizard of oz,Margaret HamiltonTerryBillie BurkeVictor FlemingAdventure Family Fantasy Musical
Mel Brooks,Madeline Kahn,Peter Boyle,Teri Garr,Comedy,young frankenstein,Madeline KahnPeter BoyleTeri GarrMel BrooksComedy
George A. Romero,Megan Park,Shawn Roberts,Joe Dinicol,Horror,diary of the dead,Megan ParkShawn RobertsJoe DinicolGeorge A. RomeroHorror
Rajkumar Hirani,Vidya Balan,Sanjay Dutt,Jimmy Shergill,Comedy Drama Romance,lage raho munna bhai,Vidya BalanSanjay DuttJimmy ShergillRajkumar HiraniComedy Drama Romance
Victor Nunez,Peter Fonda,Patricia Richardson,Vanessa Zima,Drama,ulee's gold,Peter FondaPatricia RichardsonVanessa ZimaVictor NunezDrama
Carroll Ballard,Teri Garr,Kelly Reno,Hoyt Axton,Adventure Family Sport,the black stallion,Teri GarrKelly RenoHoyt AxtonCarroll BallardAdventure Family Sport
Rohit Jugraj,Bhavkhandan Singh Rakhra,Neeru Bajwa,Diljit Dosanjh,Romance,sardaar ji,Bhavkhandan Singh RakhraNeeru BajwaDiljit DosanjhRohit JugrajRomance
Thorbjørn Christoffersen,Iben Hjejle,Frank Hvam,Casper Christensen,Action Adventure Animation Comedy Sci-Fi,journey to saturn,Iben HjejleFrank HvamCasper ChristensenThorbjørn ChristoffersenAction Adventure Animation Comedy Sci-Fi
John Ford,Lee Marvin,Cesar Romero,Jack Warden,Adventure Comedy Romance,donovan's reef,Lee MarvinCesar RomeroJack WardenJohn FordAdventure Comedy Romance
Alex van Warmerdam,Rijk de Gooyer,Ariane Schluter,Henri Garcin,Comedy Drama,the dress,Rijk de GooyerAriane SchluterHenri GarcinAlex van WarmerdamComedy Drama
Victor Fleming,Spencer Tracy,Esther Williams,Irene Dunne,Drama Fantasy Romance War,a guy named joe,Spencer TracyEsther WilliamsIrene DunneVictor FlemingDrama Fantasy Romance War
Mel Brooks,Madeline Kahn,David Huddleston,Harvey Korman,Comedy Western,blazing saddles,Madeline KahnDavid HuddlestonHarvey KormanMel BrooksComedy Western
Joseph Zito,Judie Aronson,Tom Everett,Kimberly Beck,Horror Thriller,friday the 13th: the final chapter,Judie AronsonTom EverettKimberly BeckJoseph ZitoHorror Thriller
Pawel Pawlikowski,Joanna Kulig,Agata Trzebuchowska,Agata Kulesza,Drama,ida,Joanna KuligAgata TrzebuchowskaAgata KuleszaPawel PawlikowskiDrama
James Ivory,Rupert Graves,Denholm Elliott,Simon Callow,Drama Romance,maurice,Rupert GravesDenholm ElliottSimon CallowJames IvoryDrama Romance
Frank Sebastiano,Joe Lo Truglio,Laurie Metcalf,Seymour Cassel,Comedy Sport,beer league,Joe Lo TruglioLaurie MetcalfSeymour CasselFrank SebastianoComedy Sport
Rand Ravich,Johnny Depp,Charlize Theron,Clea DuVall,Drama Sci-Fi Thriller,the astronaut's wife,Johnny DeppCharlize TheronClea DuVallRand RavichDrama Sci-Fi Thriller
Stacy Peralta,Gerry Lopez,Gabrielle Reece,Laird John Hamilton,Documentary History Sport,riding giants,Gerry LopezGabrielle ReeceLaird John HamiltonStacy PeraltaDocumentary History Sport
Nacho Vigalondo,Karra Elejalde,Nacho Vigalondo,Bárbara Goenaga,Horror Mystery Sci-Fi Thriller,timecrimes,Karra ElejaldeNacho VigalondoBárbara GoenagaNacho VigalondoHorror Mystery Sci-Fi Thriller
Hao Ning,Jack Kao,Bo Huang,Zheng Xu,Action Adventure Comedy,silver medallist,Jack KaoBo HuangZheng XuHao NingAction Adventure Comedy
Tony Giglio,Brianna Brown,Nick Searcy,Beth Broderick,Horror Thriller,timber falls,Brianna BrownNick SearcyBeth BroderickTony GiglioHorror Thriller
Stanley Donen,Rita Moreno,Debbie Reynolds,Cyd Charisse,Comedy Musical Romance,singin' in the rain,Rita MorenoDebbie ReynoldsCyd CharisseStanley DonenComedy Musical Romance
Joe Cross,Joe Cross,Joel Fuhrman,Amy Badberg,Documentary,"fat, sick & nearly dead",Joe CrossJoel FuhrmanAmy BadbergJoe CrossDocumentary
Michael Tiddes,Essence Atkins,Alanna Ubach,J.B. Smoove,Comedy Fantasy,a haunted house,Essence AtkinsAlanna UbachJ.B. SmooveMichael TiddesComedy Fantasy
Dinesh D'Souza,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,Documentary,2016: obama's america,Barack ObamaZackary Steven GrahamDinesh D'SouzaDinesh D'SouzaDocumentary
Rob Zombie,Scout Taylor-Compton,Tyler Mane,Margot Kidder,Horror,halloween ii,Scout Taylor-ComptonTyler ManeMargot KidderRob ZombieHorror
